title,genre,description
The Dark Knight,Action Crime Drama,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham.
Inception,Action Adventure Sci-Fi,A thief who steals corporate secrets through the use of dream-sharing technology.
Interstellar,Adventure Drama Sci-Fi,A team of explorers travel through a wormhole in space in an attempt to ensure humanity survival.
The Prestige,Drama Mystery Sci-Fi,After a tragic accident two stage magicians engage in a battle to create the ultimate illusion.
Batman Begins,Action Adventure,After training with his mentor Batman begins his fight to free crime-ridden Gotham City.
The Avengers,Action Adventure Sci-Fi,Earth mightiest heroes must come together and learn to fight as a team to stop Loki.
Iron Man,Action Adventure Sci-Fi,After being held captive in an Afghan cave billionaire engineer Tony Stark creates a suit of armor.
Captain America,Action Adventure Sci-Fi,Steve Rogers a rejected military soldier transforms into Captain America.
Thor,Action Adventure Fantasy,The powerful but arrogant god Thor is cast out of Asgard to live amongst humans on Earth.
Guardians of the Galaxy,Action Adventure Comedy,A group of intergalactic criminals must pull together to stop a fanatical warrior.
Toy Story,Animation Adventure Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure becomes top toy.
Finding Nemo,Animation Adventure Comedy,After his son is captured in the Great Barrier Reef and taken to Sydney a timid clownfish.
The Lion King,Animation Adventure Drama,A young lion prince is cast out of his pride by his cruel uncle.
Aladdin,Animation Adventure Comedy,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp.
Frozen,Animation Adventure Comedy,When the newly crowned Queen Elsa accidentally uses her power to turn things into ice.
